"diff_id","del","ins","mod","total","dummy"
"475",0,0,2,2,"dummy"
"476",1,0,0,1,"dummy"
"477",0,1,0,1,"dummy"
"478",0,1,0,1,"dummy"
"479",0,0,2,2,"dummy"
"485",0,31,2,33,"dummy"
"489",1,0,0,1,"dummy"
"490",1,4,0,5,"dummy"
"491",4,2,0,6,"dummy"
"492",0,0,1,1,"dummy"
"496",4,1,3,8,"dummy"
"497",0,3,2,5,"dummy"
"498",1,1,2,4,"dummy"
"500",1,1,0,2,"dummy"
"505",0,1,0,1,"dummy"
"509",2,20,2,24,"dummy"
"510",0,1,0,1,"dummy"
"511",9,3,2,14,"dummy"
"512",8,9,2,19,"dummy"
"513",6,1,0,7,"dummy"
"514",0,0,1,1,"dummy"
"515",1,3,1,5,"dummy"
"516",3,7,0,10,"dummy"
"517",0,0,2,2,"dummy"
"518",0,0,2,2,"dummy"
"519",0,2,0,2,"dummy"
"520",1,0,1,2,"dummy"
"524",1,1,3,5,"dummy"
"525",0,0,1,1,"dummy"
"526",0,4,0,4,"dummy"
"527",0,0,1,1,"dummy"
"528",3,1,1,5,"dummy"
"529",0,0,1,1,"dummy"
"530",0,0,1,1,"dummy"
"531",0,1,0,1,"dummy"
"532",0,1,0,1,"dummy"
"533",1,1,0,2,"dummy"
"534",4,4,1,9,"dummy"
"535",5,1,0,6,"dummy"
"536",0,0,1,1,"dummy"
"537",1,2,0,3,"dummy"
"538",0,0,1,1,"dummy"
"539",1,0,0,1,"dummy"
"540",0,0,1,1,"dummy"
"541",0,0,1,1,"dummy"
"542",1,1,1,3,"dummy"
"543",0,0,1,1,"dummy"
"544",0,0,1,1,"dummy"
"545",0,0,1,1,"dummy"
"546",0,2,1,3,"dummy"
"547",0,1,0,1,"dummy"
"548",1,1,0,2,"dummy"
"549",4,1,0,5,"dummy"
"550",0,0,1,1,"dummy"
"551",1,1,1,3,"dummy"
"552",0,0,1,1,"dummy"
"553",0,1,1,2,"dummy"
"554",0,0,1,1,"dummy"
"555",1,1,1,3,"dummy"
"556",0,0,1,1,"dummy"
"557",0,0,2,2,"dummy"
"558",0,0,1,1,"dummy"
"559",0,0,1,1,"dummy"
"560",0,0,1,1,"dummy"
"561",7,2,2,11,"dummy"
"562",0,0,1,1,"dummy"
"563",0,0,3,3,"dummy"
"564",0,0,2,2,"dummy"
"565",0,0,1,1,"dummy"
"566",2,1,0,3,"dummy"
"567",0,0,1,1,"dummy"
"568",0,0,1,1,"dummy"
"569",0,0,1,1,"dummy"
"570",0,0,1,1,"dummy"
"571",0,1,1,2,"dummy"
"572",0,0,1,1,"dummy"
"573",0,0,1,1,"dummy"
"576",0,0,1,1,"dummy"
"577",0,0,1,1,"dummy"
"628",4,9,4,17,"dummy"
"629",0,0,3,3,"dummy"
"522",0,1,0,1,"dummy"
"635",0,1,1,2,"dummy"
"636",0,1,0,1,"dummy"
"638",0,1,0,1,"dummy"
"639",0,2,0,2,"dummy"
"640",0,0,1,1,"dummy"
"641",0,1,0,1,"dummy"
"642",0,0,0,0,"dummy"
"643",1,0,0,1,"dummy"
"664",0,1,0,1,"dummy"
"671",0,0,1,1,"dummy"
"672",0,1,1,2,"dummy"
"673",3,10,0,13,"dummy"
"674",2,1,0,3,"dummy"
"675",0,4,3,7,"dummy"
"676",0,0,1,1,"dummy"
"677",0,12,3,15,"dummy"
"678",4,1,1,6,"dummy"
"679",5,1,2,8,"dummy"
"682",0,0,3,3,"dummy"
"685",0,0,0,0,"dummy"
"686",0,0,1,1,"dummy"
"687",0,4,0,4,"dummy"
"688",0,2,0,2,"dummy"
"689",0,0,1,1,"dummy"
