repo_path,i_owner_type,i_stargazers,instructions,multi_process_tool,type
frosenberg/fek-docker-demo,User,1,17,supervisord,cmd
therandomsecurityguy/keystone-docker,User,0,11,supervisord,cmd
coinzen/coinage,Organization,0,26,supervisord,cmd
jsonnull/LEMH,User,4,18,supervisord,cmd
ieconomics/hbase-docker,User,1,16,supervisord,cmd
inthecloud247/kdocker-hipache,User,0,13,supervisord,cmd
a-jullien/docker-elastic-mongo,User,0,19,supervisord,cmd
dianpou/dockerfile,Organization,2,5,supervisord,cmd
socketplane/docker-ovs,Organization,116,22,supervisord,cmd
ChristianKniep/docker-reposerver,User,0,8,supervisord,cmd
ripple/docker-fdb-server,Organization,1,19,supervisord,cmd
leoncamel/docker-brew-datacanvas-base,User,0,9,supervisord,cmd
xorpd/fcatalog_docker,User,4,14,supervisord,cmd
msbeiti/conpot-in-tpot,User,0,31,supervisord,cmd
adomenech73/CoreOS,User,0,19,supervisord,cmd
mhor/docker-nginx-php-fpm,User,1,31,supervisord,cmd
FlyingPie/docker-services,User,1,18,supervisord,cmd
Runbook/runbook-ops,Organization,12,19,supervisord,cmd
vinc3nt/laverna,User,1,10,supervisord,cmd
esnet/docker,Organization,5,17,supervisord,cmd
samling/KiwiIRC-Docker,User,0,16,supervisord,cmd
ppepos/drunken-shame,User,2,13,supervisord,cmd
allisson/docker-mysql,User,4,27,supervisord,cmd
CentOS/CentOS-Dockerfiles,Organization,763,33,supervisord,cmd
jedisct1/spark-kafka-docker,User,12,37,supervisord,cmd
C4Tech/docker-centreon-server,Organization,0,15,supervisord,cmd
sumonchai/tough,User,0,10,supervisord,cmd
phaneendra/ansible-control,User,0,13,supervisord,cmd
hyperhq/hypercli,Organization,56,14,supervisord,cmd
noeljarencio/supervisord-nginx-phpfpm-openvpn,User,0,18,supervisord,cmd
marcelbirkner/docker-ci-tool-stack,User,380,46,supervisord,cmd
nlamirault/tchoupi,User,0,15,supervisord,cmd
timlinux/docker-projects,User,1,16,supervisord,cmd
linuschien/Dockerfile,User,0,23,supervisord,cmd
Freddrickk/adagios-frontend,User,0,13,supervisord,cmd
CanalTP/fabric_navitia,Organization,1,19,supervisord,cmd
tallycheck/data-core,Organization,0,9,supervisord,cmd
kierenbeckett/sentinel,User,1,8,supervisord,cmd
jokester/Dockerfiles,User,7,10,s6,cmd
wurstmeister/storm-docker,User,183,5,supervisord,cmd
ChristianKniep/docker-foxserver,User,0,25,supervisord,cmd
fedora-cloud/Fedora-Dockerfiles,Organization,307,31,supervisord,cmd
zhongpei/docker-supervisor,User,0,8,supervisord,cmd
jasuarez/dockerfiles,User,2,12,supervisord,cmd
OleksiiOleksenko/dockerized-django,User,1,16,supervisord,cmd
DBeath/flask-feedrsub,User,2,15,supervisord,cmd
qnib/docker-graphite-api,Organization,1,11,supervisord,cmd
mozilla/MozDef,Organization,1249,48,supervisord,cmd
40thoughts/docker-Yify-Pop,User,1,22,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
bryanheinz/docker-recipes,User,0,15,supervisord,cmd
iamdork/container,Organization,0,9,supervisord,cmd
ChristianKniep/centos6-jenkins,User,0,8,supervisord,cmd
cjhardekopf/docker-apt-cacher-ng,User,0,8,supervisord,cmd
talkincode/ToughNMS,Organization,4,8,supervisord,cmd
WillemElbers/docker-collectd-graphite,User,0,28,supervisord,cmd
mirceaalexandru/seneca-riak-store,User,1,14,supervisord,cmd
openstack/bansho,Organization,20,24,supervisord,cmd
MichaelVL/osm-analytic-tracker,User,23,33,supervisord,cmd
dockingbay/centos-prosody,Organization,2,16,supervisord,cmd
mogproject/dockerfiles,User,0,17,supervisord,cmd
progtologist/docker-ruby,User,0,12,supervisord,cmd
cng-thg/dockerfiles,User,0,18,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
aterreno/docker-clojure-hello-world,User,6,17,supervisord,cmd
robcza/intelmq-dockerhub,User,0,38,supervisord,cmd
leanrobot/contestsite-docker,User,0,19,supervisord,cmd
picoded/dockerfiles,Organization,3,9,system.d,cmd
docker-build/p2p,Organization,13,7,supervisord,cmd
skippy/docker-redis,User,0,12,supervisord,cmd
TOTVS/mdmpublic,Organization,2,10,supervisord,cmd
njvijay/docker-storm-repo,User,0,9,supervisord,cmd
cjhardekopf/docker-collectd,User,0,11,supervisord,cmd
dgtl-llc/confluence-docker,Organization,0,28,supervisord,cmd
Dockerlover/docker-2048,Organization,1,8,supervisord,cmd
MSUAS-15SoSe-MProj/diperf,Organization,1,23,supervisord,cmd
askz/Polydesk,User,3,28,supervisord,cmd
tendrilinc/marathon-autoscaler,Organization,33,8,supervisord,cmd
yuusuke/Dockerfiles,User,0,32,supervisord,cmd
abelnation/statsy-docker,User,0,50,supervisord,cmd
inthecloud247/kdocker-elasticsearch,User,0,8,supervisord,cmd
whlee21/docker,User,1,10,supervisord,cmd
qnib/docker-pxe,Organization,1,47,supervisord,cmd
sharestack/dockerfiles,Organization,1,18,supervisord,cmd
Krijger/docker-cookbooks,User,267,6,supervisord,cmd
Nitro/haproxy-api,Organization,4,10,s6,cmd
tierpod/docker-images,User,1,10,supervisord,cmd
cloudfoundry-incubator/lattice-release,Organization,778,14,supervisord,cmd
board-game-engine/ansible,Organization,0,11,supervisord,cmd
ld-test/vanilla,Organization,0,27,supervisord,cmd
marchandd/term_ssh_root_firefox,User,2,17,supervisord,cmd
Jamesits/docker-dst-server,User,14,32,supervisord,cmd
LabAdvComp/docker-slurmctld,Organization,1,6,supervisord,cmd
poldracklab/crn-app-registration-tool,Organization,0,49,supervisord,cmd
ariarijp/dockerfiles,User,1,12,supervisord,cmd
jumanjiman/dockerfiles,User,0,14,supervisord,cmd
socketplane/docker-ovs,Organization,116,22,supervisord,cmd
otakukaze/docker-c9,User,0,22,supervisord,cmd
IslandZero/docker-phabricator,Organization,1,25,supervisord,cmd
ianblenke/deis-chef-docker,User,0,17,supervisord,cmd
AdmaticITServices/mongodb,Organization,0,22,supervisord,cmd
poldracklab/crn-app-registration-tool,Organization,0,13,supervisord,cmd
altran/_Whydah,Organization,1,28,supervisord,cmd
asmundg/docker-owncloud,User,1,15,supervisord,cmd
nicokaiser/docker-batsd,User,2,20,supervisord,cmd
francois-vincent/yadio,User,0,28,supervisord,cmd
Dockerlover/docker-java,Organization,0,12,supervisord,cmd
nihildeb/dock,User,0,10,supervisord,cmd
LuisPalacios/base-gitolite,User,0,26,supervisord,cmd
bjasko/docker-smtp-bug,User,0,12,supervisord,cmd
medined/docker-lumify,User,0,13,supervisord,cmd
Sitback/docker-containers,Organization,1,13,supervisord,cmd
sumonchai/tough,User,0,8,supervisord,cmd
bitgandtter/sf-v-d,User,0,10,supervisord,cmd
laikacultural/spaceport,Organization,4,24,supervisord,cmd
pneisen/memcache-ssl-session-cache-test,User,0,20,supervisord,cmd
sysdia/thumbifier,Organization,1,8,supervisord,cmd
5t111111/docker-jsdav,User,0,16,supervisord,cmd
kevana/ummbNet,User,2,16,supervisord,cmd
Locu/chronology,Organization,58,12,supervisord,cmd
io-informatics/transmart-docker,Organization,2,22,supervisord,cmd
chinthakagodawita/docker-containers,Organization,1,13,supervisord,cmd
lyddonb/statsd_graphite_docker,User,0,34,supervisord,cmd
FINRAOS/yum-nginx-api,Organization,28,20,supervisord,cmd
anjesh/docker-resourcecontracts.org,User,0,32,supervisord,cmd
JoeJasinski/WindyTransit,User,2,29,supervisord,cmd
sinfere/dockerfile,User,0,22,supervisord,cmd
ruimo/df-ubu1404-pgsql934,User,0,25,monit,cmd
sedsimon/docker-supervisord,User,0,13,supervisord,cmd
lovelvye/dockerlibrary,User,0,11,supervisord,cmd
patrickocoffeyo/drupalcraft,User,3,23,supervisord,cmd
xjchengo/docker-nginx-php,User,1,29,supervisord,cmd
igaki/Dockerfiles,User,0,21,monit,cmd
takara9/Docker_on_SoftLayer,User,0,22,supervisord,cmd
adamruzicka/dockerfiles,User,0,11,runit,cmd
abevoelker/docker-elasticsearch,User,2,24,supervisord,cmd
Yannig/meetup-ansible-paris-9,User,2,11,system.d,cmd
taka0125/docker,User,0,18,supervisord,cmd
malditogeek/vmux,User,573,13,supervisord,cmd
zatosource/zato-build,User,7,31,supervisord,cmd
dtag-dev-sec/elk,Organization,10,32,supervisord,cmd
jumpinjackie/mapguide-centos-docker,User,1,15,supervisord,cmd
binhex/arch-tvheadend,User,2,10,supervisord,cmd
binhex/arch-sabnzbdvpn,User,4,14,supervisord,cmd
chinthakagodawita/docker-containers,Organization,1,43,supervisord,cmd
hamperbot/hamper,Organization,18,14,supervisord,cmd
Dockerlover/docker-jenkins,Organization,0,10,supervisord,cmd
Dockerlover/docker-tornado,Organization,0,9,supervisord,cmd
ppepos/drunken-shame,User,2,14,supervisord,cmd
nuxeo/nuxeo-tools-docker,Organization,11,22,supervisord,cmd
schibsted-seals/wordpress-docker-example,Organization,2,24,supervisord,cmd
artem-sidorenko/vagrant-environments,User,2,8,supervisord,cmd
cmheisel/project-status-dashboard,User,4,14,supervisord,cmd
jmarin/devops,User,0,25,supervisord,cmd
dockerfile/supervisor,Organization,16,5,supervisord,cmd
K-Phoen/docker-owncloud,User,0,24,supervisord,cmd
xunxunzgq/open-hackathon-bak_01,User,0,26,supervisord,cmd
muccg/docker-openstack,Organization,4,8,supervisord,cmd
philchristensen/antioch,User,11,36,supervisord,cmd
carlobifulco/immunoscore_results,User,0,29,supervisord,cmd
EmergingTechnologyInstitute/acmeair-netflixoss-dockerlocal,Organization,33,16,supervisord,cmd
CentOS/CentOS-Dockerfiles,Organization,763,23,supervisord,cmd
WebHostingCoopTeam/whc-icinga2,Organization,0,15,supervisord,cmd
futurice/vimma2,Organization,1,58,supervisord,cmd
Cogniteinc/docker-neo4j,Organization,2,17,supervisord,cmd
adsabs/adsabs-vagrant,Organization,0,14,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
ChristianKniep/docker-qnibng,User,0,15,supervisord,cmd
ninjasphere/usvc-runtime,Organization,0,8,supervisord,cmd
Runbook/runbook-ops,Organization,12,33,supervisord,cmd
vinc3nt/laverna,User,1,11,supervisord,cmd
AKSW/SemanticPingback-Server,Organization,1,10,supervisord,cmd
tokyo-jesus/fossil-server,User,0,19,supervisord,cmd
markvnext/aspnet-docker,Organization,0,22,supervisord,cmd
raintreeinc/knowledgebase,Organization,14,16,supervisord,cmd
dnhsoft/docker-php,Organization,0,12,supervisord,cmd
supervisorg/supervisorg,Organization,7,35,supervisord,cmd
lucee/lucee-dockerfiles,Organization,25,14,supervisord,cmd
philalex/docker-privoxy-tor,User,1,19,supervisord,cmd
laikacultural/spaceport,Organization,4,28,supervisord,cmd
C4Tech/docker-centreon-server,Organization,0,15,supervisord,cmd
ASTechTalk/1-my-paas-by-docker,Organization,0,57,supervisord,cmd
zatosource/zato-build,User,7,42,supervisord,cmd
oodt-cloud/docker,Organization,0,16,supervisord,cmd
creative-area/docker-varnish-consultemplate,Organization,1,20,supervisord,cmd
autodesk-cloud/ochonetes,Organization,28,13,supervisord,cmd
tcaxias/docker,User,2,15,supervisord,cmd
adomenech73/CoreOS,User,0,18,supervisord,cmd
chinthakagodawita/docker-containers,Organization,1,27,supervisord,cmd
snakeskin/docker_bamboo_server,User,0,11,supervisord,cmd
socketplane/docker-ovs,Organization,116,22,supervisord,cmd
feelinc/my-docker-containers,User,1,17,supervisord,cmd
asm-products/runbook-ops,Organization,12,33,supervisord,cmd
solarkennedy/ipmi-kvm-docker,User,5,16,supervisord,cmd
Krijger/docker-cookbooks,User,267,4,supervisord,cmd
Jahroots/docker-xbmc-video-server,User,2,17,supervisord,cmd
sspreitzer/fedora-docker,User,0,13,supervisord,cmd
CSC-IT-Center-for-Science/pouta-blueprints,Organization,4,20,supervisord,cmd
idevz/vanilla,User,601,27,supervisord,cmd
pythias/mock.docker,User,4,35,supervisord,cmd
HubSpot/Baragon,Organization,68,18,supervisord,cmd
abn/dockerfiles,User,1,15,supervisord,cmd
abn/dockerfiles,User,1,38,supervisord,cmd
parente/dockerfiles,User,23,10,supervisord,cmd
edannenberg/gentoo-bb,User,49,8,s6,cmd
netkicorp/addressimo,Organization,9,20,supervisord,cmd
ChristianKniep/docker-slurm,User,2,44,supervisord,cmd
irusri/GenIECMS,User,0,23,supervisord,cmd
adsabs/adsabs-vagrant,Organization,0,14,supervisord,cmd
ioggstream/dockerfiles,User,3,13,supervisord,cmd
MagIciaNGTAO/docker,User,0,24,supervisord,cmd
ChristianKniep/docker-grafana,User,2,29,supervisord,cmd
alexcheng1982/docker-grafana-influxdb,User,3,20,supervisord,cmd
x3rus/Training_docker,User,0,16,supervisord,cmd
rstiller/dockerfiles,User,14,16,supervisord,cmd
1dot75cm/copr-deploy,User,2,9,system.d,cmd
hernad/docker-smtp,User,0,7,supervisord,cmd
jdash/docker-files,User,2,10,supervisord,cmd
camunda-ci/camunda-docker-qemu-packer,Organization,2,10,supervisord,cmd
xjchengo/docker-nginx-php,User,1,29,supervisord,cmd
E96/yii2-app-in-docker-example,Organization,2,6,supervisord,cmd
edannenberg/gentoo-bb,User,49,12,s6,cmd
N4SJAMK/noisegen,Organization,0,21,supervisord,cmd
97ying/kafka,User,0,16,supervisord,cmd
Duke-GCB/TF-DNA-PredictionsDB,Organization,0,14,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
phpmentors-jp/docker-images,Organization,17,37,supervisord,cmd
binhex/arch-deluge,User,3,14,supervisord,cmd
PTAnywhere/ptAnywhere-installation,Organization,0,21,supervisord,cmd
edilio/docker_gunicorn_nginx,User,0,16,supervisord,cmd
io-informatics/transmart-docker,Organization,2,22,supervisord,cmd
hjem/hjem-raspberry-pi,Organization,0,31,supervisord,cmd
laikacultural/spaceport,Organization,4,27,supervisord,cmd
lingz/docker-wordpress-nginx,User,0,32,supervisord,cmd
liuhong1happy/ConsoleWindowApp,User,2,8,supervisord,cmd
leftxs/plone.debian,Organization,0,16,supervisord,cmd
laikacultural/spaceport,Organization,4,22,supervisord,cmd
fedora-cloud/Fedora-Dockerfiles,Organization,307,21,supervisord,cmd
jslucas/docker-supervisor,User,0,8,supervisord,cmd
fikrimuhal/animated-potato,Organization,6,8,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
thomasbilk/docker_mailcatcher,User,0,10,supervisord,cmd
ruo91/docker-freebsd-compat,User,1,14,supervisord,cmd
PeterGrace/opentsdb-docker,User,19,48,supervisord,cmd
anduintransaction/Dockerfiles,Organization,1,17,supervisord,cmd
socketwench/deninet.com,User,0,13,supervisord,cmd
thanhson1085/dockerize-app,User,0,34,supervisord,cmd
bugzilla/docker-bugzilla-ci,Organization,2,36,supervisord,cmd
nihildeb/dock,User,0,15,supervisord,cmd
onesysadmin/docker-ci-hubot,Organization,0,15,supervisord,cmd
io-informatics/transmart-docker,Organization,2,17,supervisord,cmd
dianpou/dockerfile,Organization,2,25,supervisord,cmd
muccg/docker-openstack,Organization,4,9,supervisord,cmd
ka2er/docker-files,User,5,24,supervisord,cmd
flaprimo/docker-hhvm,User,0,21,supervisord,cmd
eugeneware/docker-wordpress-nginx,User,732,32,supervisord,cmd
sherzberg/docker-tor-http-proxy,User,7,13,supervisord,cmd
Jooho/sample-docker,User,1,28,supervisord,cmd
bestony/kangle,User,0,16,supervisord,cmd
ZsLinw/codeblog,User,4,21,supervisord,cmd
altran/_Whydah,Organization,1,28,supervisord,cmd
pdaether/opsdash-docker,User,1,14,supervisord,cmd
drugis/dockerfiles,Organization,0,25,supervisord,cmd
allisson/docker-mongodb,User,1,26,supervisord,cmd
parente/dockerfiles,User,23,20,supervisord,cmd
indiehosters/docker-postfix,Organization,1,17,supervisord,cmd
CentOS/CentOS-Dockerfiles,Organization,763,23,supervisord,cmd
CentOS/CentOS-Dockerfiles,Organization,763,23,supervisord,cmd
rehabstudio/docker-autodns,Organization,5,16,supervisord,cmd
philalex/docker-lutim,User,0,21,supervisord,cmd
zxiiro/lamp,User,0,12,supervisord,cmd
romeOz/docker-nginx-php,User,42,16,supervisord,cmd
andrewmclagan/aphex,User,0,12,supervisord,cmd
ariestiyansyah/atlas,User,0,21,supervisord,cmd
laikacultural/spaceport,Organization,4,22,supervisord,cmd
michael-bouvy/dockerfiles,User,0,12,supervisord,cmd
plotly/baseimage,Organization,0,14,supervisord,cmd
blang/dockerfiles,User,0,13,supervisord,cmd
CentOS/CentOS-Dockerfiles,Organization,763,33,supervisord,cmd
erwinvaneyk/Dragons-Arena,User,1,28,supervisord,cmd
MSUAS-15SoSe-MProj/diperf,Organization,1,11,supervisord,cmd
Jabsouliman/docker-php7-fpm,User,0,31,supervisord,cmd
maci0/docker-freeipa-client,User,1,13,system.d,cmd
chifamba/glassfish,User,0,48,supervisord,cmd
lucee/lucee-dockerfiles,Organization,25,14,supervisord,cmd
disconn3ct/docker-sshd-otp,User,4,21,supervisord,cmd
oodt-cloud/docker,Organization,0,11,supervisord,cmd
ggriffin924/centos-ssh,User,0,33,supervisord,cmd
LuisPalacios/base-fluentd,User,0,18,supervisord,cmd
muccg/docker-openstack,Organization,4,8,supervisord,cmd
bioinformatics-ptp/dockerfiles,Organization,1,16,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
wangxiaomo/docker-centos-files,User,0,51,supervisord,cmd
koudaiii/docker_nginx_centos,User,1,37,supervisord,cmd
sbmandava/nscale-bigdata-blue-print1,User,0,17,supervisord,cmd
William-Yeh/ansible-monit,User,6,7,monit,cmd
ppepos/drunken-shame,User,2,13,supervisord,cmd
tierpod/docker-images,User,1,12,supervisord,cmd
panubo/Dockerfiles,Organization,3,15,s6,cmd
maxmouchet/docker-ngircd,User,2,9,supervisord,cmd
coinzen/devcoin,Organization,2,18,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
altran/_Whydah,Organization,1,55,supervisord,cmd
kammy/my-dev-vagrant,User,0,32,supervisord,cmd
abhijitsarkar/docker,User,0,11,supervisord,cmd
blab2015/Bigfoot,User,0,18,supervisord,cmd
opreaadrian/docker-adobe-media-server,User,4,26,supervisord,cmd
Dockerlover/docker-java,Organization,0,16,supervisord,cmd
dockhippie/drone,Organization,2,19,s6,cmd
francois-docker/percona56,Organization,0,19,supervisord,cmd
netkicorp/addressimo,Organization,9,24,supervisord,cmd
StackFocus/PostMaster,Organization,7,13,supervisord,cmd
pastcompute/sentrifarm,User,5,14,supervisord,cmd
witalisoft/infomarquee,User,0,12,supervisord,cmd
binhex/arch-nzbget,User,1,14,supervisord,cmd
rokkie/docker-apache,User,0,13,supervisord,cmd
stanleyxu2005/docker-kafka,User,1,13,supervisord,cmd
jmatis/ubuntu,User,0,19,supervisord,cmd
dodwmd/docker-puppetmaster,User,0,25,supervisord,cmd
gi4nks/rancher-server-v0.32.0,User,0,28,s6,cmd
pauldavidgilligan-msm/sp7987,User,0,42,supervisord,cmd
theotow/gitmonitor-server,User,2,14,supervisord,cmd
eshioji/docker-ipython,User,0,19,supervisord,cmd
carbonsphere/docker-centos6-php-nginx,User,0,15,supervisord,cmd
alevin/docker-monit_base_centos,User,0,10,monit,cmd
disaster37/activemq,User,26,31,supervisord,cmd
neemzy/gitboard,User,1,19,supervisord,cmd
elastisys/scale.cloudpool,User,1,24,supervisord,cmd
DBeath/push-tester,User,0,15,supervisord,cmd
elastisys/scale.cloudpool,User,1,26,supervisord,cmd
firecat53/dockerfiles,User,263,12,supervisord,cmd
LuisPalacios/base-imapfilter,User,0,24,supervisord,cmd
marchandd/vncxvfb_wine_firefox,User,5,22,supervisord,cmd
pschiffe/rsyslog-elasticsearch-kibana,User,16,22,supervisord,cmd
mko-x/docker-pydio,User,0,38,supervisord,cmd
Kahn/docker-sks,User,0,26,supervisord,cmd
catmaid/CATMAID,Organization,66,37,supervisord,cmd
tommyblue/docker-rails-rbenv,User,0,33,supervisord,cmd
mwojcikowski/discus-deploy,User,1,51,supervisord,cmd
Krijger/docker-cookbooks,User,267,6,supervisord,cmd
dockhippie/gitea,Organization,3,24,s6,cmd
szaydel/ipython-docker,User,2,24,supervisord,cmd
artem-sidorenko/vagrant-environments,User,2,8,supervisord,cmd
nhantran/docker-images,User,0,16,supervisord,cmd
bsteinberg/sensu-core,User,0,44,supervisord,cmd
stackforge/bansho,Organization,20,24,supervisord,cmd
wurstmeister/storm-docker,User,183,9,supervisord,cmd
novice79/centos,User,0,11,supervisord,cmd
andrewtarry/docker-elk,User,0,25,supervisord,cmd
C4Tech/docker-centreon-server,Organization,0,10,supervisord,cmd
takara9/Docker_on_SoftLayer,User,0,22,supervisord,cmd
Jooho/sample-docker,User,1,28,supervisord,cmd
socketplane/docker-ovs,Organization,116,22,supervisord,cmd
jasuarez/dockerfiles,User,2,21,supervisord,cmd
rkneufeld/pedestal-micro,User,40,8,supervisord,cmd
greigdp/docker-cloud9,User,0,30,supervisord,cmd
Vauxoo/docker-postgresql,Organization,0,19,supervisord,cmd
allisson/docker-postgresql,User,9,29,supervisord,cmd
jeyk/docker-icinga2,User,2,20,supervisord,cmd
perigee/myDockerfile,User,0,14,supervisord,cmd
EmergingTechnologyInstitute/acmeair-netflixoss-dockerlocal,Organization,33,5,supervisord,cmd
asg1612/dockerfile-postgresql,User,0,16,supervisord,cmd
Dockerlover/docker-redis,Organization,0,8,supervisord,cmd
Dockerlover/docker-tornado,Organization,0,9,supervisord,cmd
CanalTP/fabric_navitia,Organization,1,25,supervisord,cmd
seven5/tutorial,Organization,1,31,supervisord,cmd
supervisorg/supervisorg,Organization,7,35,supervisord,cmd
RobLoach/Dockie,User,45,35,supervisord,cmd
london-escience/tempss,Organization,1,22,supervisord,cmd
Fabrik/docker,Organization,0,23,supervisord,cmd
zdw/xos,User,0,14,supervisord,cmd
nostradamIQ/webapp,Organization,0,11,supervisord,cmd
miquelo/storm-core,User,0,9,supervisord,cmd
laikacultural/spaceport,Organization,4,22,supervisord,cmd
LaCasemate/fab-manager,Organization,63,34,supervisord,cmd
FredrikSandell/ssh-hub,User,6,18,supervisord,cmd
pauldavidgilligan-msm/docker-centos6-puppet-ruby214,User,0,16,supervisord,cmd
muccg/docker-openstack,Organization,4,9,supervisord,cmd
qilong0/docker,User,0,14,supervisord,cmd
Sitback/docker-containers,Organization,1,48,supervisord,cmd
artem-sidorenko/vagrant-environments,User,2,8,supervisord,cmd
Tairy/dockerfiles,User,1,17,supervisord,cmd
miiton/docker-ubuntu,User,0,14,supervisord,cmd
elithrar/supervisord,User,3,15,supervisord,cmd
medined/docker-lumify,User,0,4,supervisord,cmd
abn/dockerfiles,User,1,11,supervisord,cmd
socketplane/docker-ovs,Organization,116,22,supervisord,cmd
pharsfalvi/apt-timezone,Organization,0,21,supervisord,cmd
neo4j-contrib/twitter-neo4j,Organization,28,24,supervisord,cmd
whlee21/docker,User,1,10,supervisord,cmd
ryuzee/sandbox-devops,User,46,14,supervisord,cmd
linefeedse/korjournal,User,0,27,supervisord,cmd
artburkart/docker-chicagoboss,User,0,9,supervisord,cmd
firecat53/dockerfiles,User,263,14,supervisord,cmd
jbonachera/docker-consul-template,User,0,17,supervisord,cmd
glenux/docker-lampbox,User,0,13,supervisord,cmd
opencord/xos,Organization,0,21,supervisord,cmd
Nilson89/docker-php56-dev,User,0,22,supervisord,cmd
ibm-watson-iot/connector-statsd,Organization,1,11,supervisord,cmd
40thoughts/docker-DelugeWebUI,User,0,16,supervisord,cmd
roberts1914/dockertest,User,0,20,supervisord,cmd
david-guenault/docker-projects,User,0,31,supervisord,cmd
olivetree123/redash-x,User,0,25,supervisord,cmd
docent-net/Dockerfiles,User,0,11,supervisord,cmd
epfl-sti/octave-x11-novnc-docker,Organization,15,26,supervisord,cmd
chinthakagodawita/docker-containers,Organization,1,26,supervisord,cmd
sameersbn/docker-openfire,User,53,23,supervisord,cmd
howtox/howtox-server,User,2,22,supervisord,cmd
takara9/Docker_on_SoftLayer,User,0,18,supervisord,cmd
edpaget/docker-nginx,User,0,17,supervisord,cmd
minatsu/docker,User,0,48,supervisord,cmd
miebach/docker-base,Organization,0,11,supervisord,cmd
wglass/lighthouse,User,12,18,supervisord,cmd
Locu/chronology,Organization,58,18,supervisord,cmd
elastisys/scale.cloudpool,User,1,24,supervisord,cmd
hacklabr/viradacultural-social-api,Organization,0,33,supervisord,cmd
samsara/samsara,Organization,53,16,supervisord,cmd
usr000/outlier-detection,User,0,8,supervisord,cmd
laikacultural/spaceport,Organization,4,30,supervisord,cmd
jonfk/titan-docker,User,0,17,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
WIZARD-CXY/dockerCF,User,0,13,supervisord,cmd
mogproject/dockerfiles,User,0,15,supervisord,cmd
catatnight/docker-freeradius,User,22,15,supervisord,cmd
udomsak/thaiopensource-tut,User,0,25,supervisord,cmd
walidbenchikha/myflask,User,0,17,supervisord,cmd
julienvincent/docker-nginx-php,User,0,16,supervisord,cmd
PFCM/old-horoscopes,User,0,17,supervisord,cmd
novice79/letsencrypt,User,0,13,supervisord,cmd
rhasselbaum/docker-scrappy-ddns,User,0,18,supervisord,cmd
webdevops/Neos-docker-boilerplate,Organization,7,23,supervisord,cmd
tcaxias/docker,User,2,20,supervisord,cmd
SUSE/zypper-docker,Organization,16,14,supervisord,cmd
Fabrik/docker,Organization,0,23,supervisord,cmd
quickbundle/dockerfile,User,0,9,supervisord,cmd
snakie/dailyimpactfact,User,0,18,supervisord,cmd
sdd330/devenv_dockerfile,User,0,21,supervisord,cmd
rhlobo/bigtempo_server,User,0,27,supervisord,cmd
automagicallydone/docker-glpi,Organization,0,15,supervisord,cmd
vl0ms/docker-armhf-torrentbox,User,1,46,supervisord,cmd
opsolutely/flask-nginx-starter,Organization,0,26,supervisord,cmd
socketplane/docker-ovs,Organization,116,22,supervisord,cmd
qnib/docker-elasticsearch,Organization,0,11,supervisord,cmd
ehazlett/interlock,User,780,14,supervisord,cmd
thamizarasu/modsecurity,User,0,10,supervisord,cmd
cng-thg/dockerfiles,User,0,14,supervisord,cmd
qLb/arch-btsync,User,0,11,supervisord,cmd
hoshinotsuyoshi/dind-jenkins,User,0,15,supervisord,cmd
autodesk-cloud/ochonetes-kafka,Organization,6,13,supervisord,cmd
fedora-cloud/Fedora-Dockerfiles,Organization,307,11,supervisord,cmd
Runbook/runbook-ops,Organization,12,19,supervisord,cmd
opencord/xos,Organization,0,14,supervisord,cmd
Co-opComplete/K4,Organization,2,19,supervisord,cmd
talkincode/ToughRADIUS,Organization,192,10,supervisord,cmd
ChristianKniep/docker-jenkins,User,0,8,supervisord,cmd
dmatosl/lb,User,6,5,supervisord,cmd
neich/fiware-docker,User,1,8,supervisord,cmd
Odania-IT/mailcatcher-docker,Organization,2,12,supervisord,cmd
bioinformatics-ptp/dockerfiles,Organization,1,25,supervisord,cmd
navicore/riak,User,0,14,supervisord,cmd
dockerfiles/centos-lamp,Organization,16,21,supervisord,cmd
DieterReuter/docker-etcd,User,0,12,supervisord,cmd
mrlake/docker-rpi-lms,User,0,38,supervisord,cmd
chinthakagodawita/docker-containers,Organization,1,14,supervisord,cmd
mattb/zoocker,User,1,14,supervisord,cmd
csabakollar/d_spacewalk,User,1,23,supervisord,cmd
lingya/docker-spark,User,0,4,supervisord,cmd
shufo/jenkins-slave-centos,User,0,30,supervisord,cmd
binhex/arch-jenkins,User,3,11,supervisord,cmd
ppepos/drunken-shame,User,2,13,supervisord,cmd
smatejina/laravel-docker,User,0,26,supervisord,cmd
CognitiveScale/docker-neo4j,Organization,0,16,supervisord,cmd
rikel/groupdynamics,User,0,27,supervisord,cmd
hangim/kcp-shadowsocks-docker,User,5,13,supervisord,entrypoint
300brand/ocular8.net,Organization,0,20,supervisord,entrypoint
