repo_path,i_owner_type,i_stargazers,instructions,multi_process_tool,type
atsaki/docker-cloudstack,User,0,3,supervisord,cmd
Karm/sinkit-resolver,User,0,30,supervisord,cmd
laikacultural/spaceport,Organization,4,29,supervisord,cmd
igaki/Dockerfiles,User,0,11,monit,cmd
edannenberg/gentoo-bb,User,48,10,s6,cmd
edannenberg/gentoo-bb,User,48,10,s6,cmd
arkanus/dockerfiles,User,0,9,supervisord,cmd
mogproject/dockerfiles,User,0,14,supervisord,cmd
mrucci/cubismino,User,2,18,supervisord,cmd
brijeshakbari/edXconfiguration,User,0,8,supervisord,cmd
sinfere/dockerfile,User,0,16,supervisord,cmd
goern/Debian-Dockerfiles,User,0,28,supervisord,cmd
tallycheck/data-core,Organization,0,9,supervisord,cmd
alwinmark/mailserver,User,1,11,supervisord,cmd
frozzare/docker-nginx-php,User,4,17,supervisord,cmd
30x/shipyard,Organization,1,14,supervisord,cmd
julian-labuschagne/apache2,User,0,8,supervisord,cmd
mko-x/docker-cloud9,User,0,30,supervisord,cmd
laikacultural/spaceport,Organization,4,31,supervisord,cmd
Dockerlover/docker-mongodb,Organization,0,13,supervisord,cmd
gdhorne/machine-learning-toolbox,User,0,64,supervisord,cmd
happybits/floe,Organization,0,19,supervisord,cmd
Jahroots/docker-pyload,User,1,16,supervisord,cmd
mattinclude/certDragon,User,0,45,supervisord,cmd
teaplanet/wordpress-docker,User,3,39,supervisord,cmd
PaulWoodIII/baasbox-codedeploy,User,1,14,supervisord,cmd
Raphy/docker-skeleton,User,0,9,supervisord,cmd
cng-thg/dockerfiles,User,0,15,supervisord,cmd
socketplane/docker-ovs,Organization,115,22,supervisord,cmd
PTAnywhere/ptAnywhere-installation,Organization,0,22,supervisord,cmd
d3trax/skeleton-docker,User,0,48,supervisord,cmd
sbmandava/nscale-bigdata-blue-print1,User,0,22,supervisord,cmd
elastisys/scale.cloudpool,User,1,24,supervisord,cmd
AlertaDengue/AlertaDengue,Organization,6,29,supervisord,cmd
Sitback/docker-containers,Organization,1,18,supervisord,cmd
jadala/smpp-btm,User,0,29,supervisord,cmd
zumbrunnen/docker-ltc-cpuminer,User,5,20,supervisord,cmd
ChristianKniep/docker-convert,User,1,5,supervisord,cmd
cng-thg/dockerfiles,User,0,15,supervisord,cmd
yakinaround/myadventure-docker,Organization,0,21,supervisord,cmd
