jbregman/dockermake;11;1
a60814billy/docker-php-apache;101;1
tdtds/tdiarynet;57;0
wolfsoft/dbpager;427;1
ONEdotTWO/middleman-gui;67;1
arecker/bennedetto;222;1
alissonmbr/xy-inc;79;1
yilaisu/phonebuzz;2;0
ericdahl/project-euler;187;1
misspast/pyspider;86;0
webdizz/docker-gatling;63;1
sherzberg/docker-tor-privoxy;29;1
therealbill/commissar;3;0
miloskovacevic/job-directory;1;0
sisidovski/docker-sync-backend;41;1
zooniverse/panoptes-subject-uploader;54;1
grnet/agkyra;163;1
dit4c/dockerfile-dit4c-container-underworld;65;0
godaddy/django_transaction_barrier;127;1
mardiros/pyshop;123;1
vexor/vx-cacher;43;1
lexandro/java8-base;56;1
telemark/app-tfk-politikere;41;1
dockerfile/supervisor;2;0
farcaller/etcdmon;28;1
troykinsella/concourse-fly-resource;7;1
segura2010/CC-Proyecto-OpenSecureChat;313;1
alari/docker-php-fpm-53;63;1
clearcare/gunicorn-helloworld;41;1
spiral-project/daybed;1;0
andela-iarisah/StoreManagerBoot;1;0
kitpages/docker-glusterfs;97;1
jessebmiller/lifedash;16;1
DirkHeinke/docker_auth_web;51;1
Caozongkai/aaa;347;0
tobegit3hub/osop;126;1
codeship-library/heroku-deployment;98;1
raupachz/docker;23;0
kuniyoshi/helocker;26;1
dit4c/dockerfile-dit4c-deploy-portal;9;1
indiehosters/docker-postfix;54;1
jaarandaz/docker-bower-gulp;111;1
codecentric/edmp-monitoring;37;0
walshie4/Ultimate-Blocklist;46;1
tilosradio/web2-backend;57;0
e-ucm/rage-analytics-games;92;1
fpruitt/Rome;86;1
sthulb-attic/docker-proxylocal;16;0
maxmouchet/docker-ngircd;48;1
keyz182/rabbitinflux;2;0
jamesbrink/docker-youtrack;107;1
totem/docker-mongo-es;33;1
saidimu/docker-blazer;221;1
jbhoosreddy/moz-devtools-gitbot;0;0
lookout/tapp;159;1
munkie/acestream-docker;94;1
stusherwin/open-veg-box;190;1
caarlos0/docker-alpine-oraclejdk7-mvn;58;1
kumaranm/mean;1;0
launchany/microservices-node-inventory;60;1
signalfx/cadvisor-integration;86;1
